nohup: ignoring input
Namespace(batchSize=48, chop=False, cuda=True, loss='1*VGG54+0.01*GDL', lr=0.0001, nEpochs=1000, patchSize=64, pre_train='./experiment/G_0.105.pth', rgb_range=255, seed=123, testBatchSize=1, threads=4)
===> Loading datasets
===> Building model
Let's use 4 GPUs!
load model from ./experiment/G_0.105.pth ...
success!
Preparing loss function:
1.000 * VGG54
0.010 * GDL
Setting up [LPIPS] perceptual loss: trunk [alex], v[0.1], spatial [off]
Loading model from: /root/miniconda3/lib/python3.7/site-packages/lpips/weights/v0.1/alex.pth
===========> G_Epoch[1](79/2480): Loss: 0.780222
===> D_Epoch[1](79/2480): Loss: 0.662769
===========> G_Epoch[1](80/2480): Loss: 0.534459
===> D_Epoch[1](80/2480): Loss: 0.671013
===========> G_Epoch[1](81/2480): Loss: 0.765932
===> D_Epoch[1](81/2480): Loss: 0.675804
===========> G_Epoch[1](82/2480): Loss: 0.699235
===> D_Epoch[1](82/2480): Loss: 0.667648
===========> G_Epoch[1](83/2480): Loss: 0.675082
===> D_Epoch[1](83/2480): Loss: 0.674332
===========> G_Epoch[1](84/2480): Loss: 0.656711
===> D_Epoch[1](84/2480): Loss: 0.678156
===========> G_Epoch[1](85/2480): Loss: 0.587912
===> D_Epoch[1](85/2480): Loss: 0.670278
===========> G_Epoch[1](86/2480): Loss: 0.653188
===> D_Epoch[1](86/2480): Loss: 0.664572
===========> G_Epoch[1](87/2480): Loss: 0.524922
===> D_Epoch[1](87/2480): Loss: 0.674383
===========> G_Epoch[1](88/2480): Loss: 0.650325
===> D_Epoch[1](88/2480): Loss: 0.669905
===========> G_Epoch[1](89/2480): Loss: 0.667767
===> D_Epoch[1](89/2480): Loss: 0.655754
===========> G_Epoch[1](90/2480): Loss: 0.692500
===> D_Epoch[1](90/2480): Loss: 0.646250
===========> G_Epoch[1](91/2480): Loss: 0.753363
===> D_Epoch[1](91/2480): Loss: 0.653175
===========> G_Epoch[1](92/2480): Loss: 0.727835
===> D_Epoch[1](92/2480): Loss: 0.653853
===========> G_Epoch[1](93/2480): Loss: 0.657246
===> D_Epoch[1](93/2480): Loss: 0.638618
===========> G_Epoch[1](94/2480): Loss: 0.567484
===> D_Epoch[1](94/2480): Loss: 0.661744
===========> G_Epoch[1](95/2480): Loss: 0.670602
===> D_Epoch[1](95/2480): Loss: 0.661104
===========> G_Epoch[1](96/2480): Loss: 0.601656
===> D_Epoch[1](96/2480): Loss: 0.654999
===========> G_Epoch[1](97/2480): Loss: 0.664345
===> D_Epoch[1](97/2480): Loss: 0.658985
===========> G_Epoch[1](98/2480): Loss: 0.740867
===> D_Epoch[1](98/2480): Loss: 0.663750
===========> G_Epoch[1](99/2480): Loss: 0.580388
===> D_Epoch[1](99/2480): Loss: 0.654441
===========> G_Epoch[1](100/2480): Loss: 0.698221
===> D_Epoch[1](100/2480): Loss: 0.669262
===========> G_Epoch[1](101/2480): Loss: 0.634113
===> D_Epoch[1](101/2480): Loss: 0.673608
===========> G_Epoch[1](102/2480): Loss: 0.701320
===> D_Epoch[1](102/2480): Loss: 0.664641
===========> G_Epoch[1](103/2480): Loss: 0.699607
===> D_Epoch[1](103/2480): Loss: 0.661487
===========> G_Epoch[1](104/2480): Loss: 0.660330
===> D_Epoch[1](104/2480): Loss: 0.678025
===========> G_Epoch[1](105/2480): Loss: 0.531991
===> D_Epoch[1](105/2480): Loss: 0.656442
===========> G_Epoch[1](106/2480): Loss: 0.739273
===> D_Epoch[1](106/2480): Loss: 0.652273
===========> G_Epoch[1](107/2480): Loss: 0.724149
===> D_Epoch[1](107/2480): Loss: 0.657542
===========> G_Epoch[1](108/2480): Loss: 0.634909
===> D_Epoch[1](108/2480): Loss: 0.659186
===========> G_Epoch[1](109/2480): Loss: 0.750771
===> D_Epoch[1](109/2480): Loss: 0.653837
===========> G_Epoch[1](110/2480): Loss: 0.612480
===> D_Epoch[1](110/2480): Loss: 0.631025
===========> G_Epoch[1](111/2480): Loss: 0.657408
===> D_Epoch[1](111/2480): Loss: 0.646880
===========> G_Epoch[1](112/2480): Loss: 0.588225
===> D_Epoch[1](112/2480): Loss: 0.652744
===========> G_Epoch[1](113/2480): Loss: 0.613615
===> D_Epoch[1](113/2480): Loss: 0.626486
===========> G_Epoch[1](114/2480): Loss: 0.537848
===> D_Epoch[1](114/2480): Loss: 0.640663
===========> G_Epoch[1](115/2480): Loss: 0.629201
===> D_Epoch[1](115/2480): Loss: 0.640013
===========> G_Epoch[1](116/2480): Loss: 0.668332
===> D_Epoch[1](116/2480): Loss: 0.658126
===========> G_Epoch[1](117/2480): Loss: 0.787229
===> D_Epoch[1](117/2480): Loss: 0.627793
===========> G_Epoch[1](118/2480): Loss: 0.651282
===> D_Epoch[1](118/2480): Loss: 0.637082
===========> G_Epoch[1](119/2480): Loss: 0.568869
===> D_Epoch[1](119/2480): Loss: 0.641963
===========> G_Epoch[1](120/2480): Loss: 0.598766
===> D_Epoch[1](120/2480): Loss: 0.646940
===========> G_Epoch[1](121/2480): Loss: 0.706887
===> D_Epoch[1](121/2480): Loss: 0.629910
===========> G_Epoch[1](122/2480): Loss: 0.745216
===> D_Epoch[1](122/2480): Loss: 0.626081
===========> G_Epoch[1](123/2480): Loss: 0.575885
===> D_Epoch[1](123/2480): Loss: 0.673086
===========> G_Epoch[1](124/2480): Loss: 0.691628
===> D_Epoch[1](124/2480): Loss: 0.634280
===========> G_Epoch[1](125/2480): Loss: 0.709464
===> D_Epoch[1](125/2480): Loss: 0.656004
===========> G_Epoch[1](126/2480): Loss: 0.724381
===> D_Epoch[1](126/2480): Loss: 0.665759
===========> G_Epoch[1](127/2480): Loss: 0.635446
===> D_Epoch[1](127/2480): Loss: 0.621437
===========> G_Epoch[1](128/2480): Loss: 0.704760
===> D_Epoch[1](128/2480): Loss: 0.657875
===========> G_Epoch[1](129/2480): Loss: 0.654288
===> D_Epoch[1](129/2480): Loss: 0.638379
===========> G_Epoch[1](130/2480): Loss: 0.650475
===> D_Epoch[1](130/2480): Loss: 0.635255
===========> G_Epoch[1](131/2480): Loss: 0.739634
===> D_Epoch[1](131/2480): Loss: 0.653647
===========> G_Epoch[1](132/2480): Loss: 0.676570
===> D_Epoch[1](132/2480): Loss: 0.636119
===========> G_Epoch[1](133/2480): Loss: 0.618111
===> D_Epoch[1](133/2480): Loss: 0.611385
===========> G_Epoch[1](134/2480): Loss: 0.621155
===> D_Epoch[1](134/2480): Loss: 0.666612
===========> G_Epoch[1](135/2480): Loss: 0.694968
===> D_Epoch[1](135/2480): Loss: 0.597211
===========> G_Epoch[1](136/2480): Loss: 0.566097
===> D_Epoch[1](136/2480): Loss: 0.627174
===========> G_Epoch[1](137/2480): Loss: 0.828457
===> D_Epoch[1](137/2480): Loss: 0.606432
===========> G_Epoch[1](138/2480): Loss: 0.589069
===> D_Epoch[1](138/2480): Loss: 0.618298
===========> G_Epoch[1](139/2480): Loss: 0.706860
===> D_Epoch[1](139/2480): Loss: 0.590086
===========> G_Epoch[1](140/2480): Loss: 0.571840
===> D_Epoch[1](140/2480): Loss: 0.636575
===========> G_Epoch[1](141/2480): Loss: 0.712623
===> D_Epoch[1](141/2480): Loss: 0.628274
===========> G_Epoch[1](142/2480): Loss: 0.583824
===> D_Epoch[1](142/2480): Loss: 0.631502
===========> G_Epoch[1](143/2480): Loss: 0.716215
===> D_Epoch[1](143/2480): Loss: 0.621439
===========> G_Epoch[1](144/2480): Loss: 0.585102
===> D_Epoch[1](144/2480): Loss: 0.602765
===========> G_Epoch[1](145/2480): Loss: 0.637823
===> D_Epoch[1](145/2480): Loss: 0.601704
===========> G_Epoch[1](146/2480): Loss: 0.676867
